method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
fixed_k2_h4,11,2.0,4.0,0.5,0.8854506088554961,1,0.059925827493042344,2.0,4.0,0.5,60,30,0.0060179466381669044,0.5222360483392056,0.10902741308203116,0.24379441785204334,0.504307311107495,0.4798874050112342,0.8538157833987716
fixed_k2_h4,12,2.0,4.0,0.5,0.793576430793739,1,0.10960610296552913,2.0,4.0,0.5,60,30,0.005988851189613342,0.49812091041902573,0.09999363631024628,0.2352447397331398,0.4523395267800061,0.5426517920397558,0.8133873157712944
fixed_k2_h4,13,2.0,4.0,0.5,0.9802729404218831,1,0.010174180526534534,2.0,4.0,0.5,60,30,0.006794841028749943,0.5355439840491709,0.1218472972717111,0.2854269986766528,0.43956004393172404,0.5368382504570789,0.8495170194548196
fixed_k2_h4,14,2.0,4.0,0.5,0.6019954221020005,0,0.2189292405229905,2.0,4.0,0.5,60,30,0.006042834371328354,0.5017778963538422,0.1047348990208207,0.2479617191180147,0.3915980730942607,0.3725238974445708,nan
fixed_k2_h4,15,2.0,4.0,0.5,0.6638991884639456,0,0.182643390793323,2.0,4.0,0.5,60,30,0.0065610771998763084,0.5906805902392861,0.14534045261286455,0.36434430035544635,0.45754257922280056,0.4532841215265954,0.9255564990185219
fixed_k2_h4,16,2.0,4.0,0.5,0.7210035720249528,1,0.15002051791684176,2.0,4.0,0.5,60,30,0.005980371497571468,0.40810146474009834,0.0685760208180559,0.15084985405089313,0.4522572968527122,0.4176785618178509,0.7884223996726004
fixed_k2_h4,17,2.0,4.0,0.5,0.9482311371369234,1,0.026825388016721633,2.0,4.0,0.5,60,30,0.006681755185127258,0.48664500990559095,0.09700647106015066,0.2347198877797152,0.6177900530248098,0.4843387664894444,0.9452364838277745
fixed_k2_h4,18,2.0,4.0,0.5,0.9429471645658078,1,0.029586648458849642,2.0,4.0,0.5,60,30,0.006495779380202293,0.4946933088701947,0.11921448736628591,0.30897475914727723,0.3563294505336036,0.39298384294059135,0.8968851772759284
fixed_k2_h4,19,2.0,4.0,0.5,0.8346971548275961,1,0.08717775893500246,2.0,4.0,0.5,60,30,0.006007368676364422,0.48942961190166406,0.1022207237189558,0.23503358542181652,0.48812759512199505,0.5266441239680342,0.8567271908856096
fixed_k2_h8,0,2.0,8.0,0.25,0.32060918399849386,0,0.4005093291414622,2.0,8.0,0.25,30,15,0.005759238265454769,0.4746069324370769,0.05089366341502925,0.1027197397442268,0.3406470077406662,0.4101662608116767,nan
