step,pusher_x,pusher_y,obj_x,obj_y,goal_x,goal_y,obj_goal_dist,pusher_obj_dist,contact,progress,phase,seed,method,k,h,local_chunk_step,convergence_signal,action_x,action_y,final_score,success
81,0.4489847331361055,0.3545968834328122,0.5893101398151563,0.5182173760139452,0.78,0.72,0.27763078020999904,0.21555251182051585,0.0,0.016755807847788073,free,0,fixed_k2_h1,2,1,0,0.06399649167146279,0.02952982903384728,0.3348854449204625,0.9816262707472116,1
82,0.45477556837616473,0.35576985683584095,0.5995181333008477,0.5279345015843275,0.78,0.72,0.26355807688035526,0.22492459848213278,0.0,0.014072703329643776,free,0,fixed_k2_h1,2,1,0,0.010472333829273081,0.12868522755687245,0.02606607562286093,0.9816262707472116,1
83,0.45329099979206305,0.3576547671514221,0.6080928478288284,0.5360968870634487,0.78,0.72,0.25173880097306467,0.23623124753998123,0.0,0.011819275907290594,free,0,fixed_k2_h1,2,1,0,0.04042162555111725,-0.03299041298003715,0.04188689590180311,0.9816262707472116,1
84,0.4513236049915376,0.35224636977479784,0.6152956080323323,0.5429532908659105,0.78,0.72,0.24181206328190083,0.2515073508533344,0.0,0.00992673769116384,free,0,fixed_k2_h1,2,1,0,0.062273097808132005,-0.043719884456120184,-0.12018660836942804,0.9816262707472116,1
85,0.46016781162497317,0.346854483294765,0.6213459266032755,0.5487126700599784,0.78,0.72,0.23347476181239607,0.25831204445805195,0.0,0.00833730146950476,free,0,fixed_k2_h1,2,1,0,0.057791855334180076,0.19653792518745705,-0.11981969955628638,0.9816262707472116,1
86,0.47680175080718024,0.35671230501245654,0.6264281942028678,0.5535505485829953,0.78,0.72,0.2264723369703547,0.24725162627408065,0.0,0.00700242484204136,free,0,fixed_k2_h1,2,1,0,0.06183795109416443,0.36964309293793496,0.2190627048375897,0.9816262707472116,1
87,0.4748606918959417,0.3704352087168219,0.6306972989865253,0.5576143665423297,0.78,0.72,0.22059100272533305,0.2435592027285589,0.0,0.005881334245021658,free,0,fixed_k2_h1,2,1,0,0.04461118863772684,-0.04313464247196691,0.30495341565256373,0.9816262707472116,1
88,0.4561414228395779,0.3495130416345951,0.6342833470047976,0.5610279736281705,0.78,0.72,0.2156512187048566,0.2765377218419463,0.0,0.0049397840204764565,free,0,fixed_k2_h1,2,1,0,0.16755234710995837,-0.41598375680808397,-0.4649370462717062,0.9816262707472116,1
89,0.459275054121717,0.3575553389164761,0.6372956273401463,0.5638954035802768,0.78,0.72,0.21150220566132885,0.2725207272382774,0.0,0.004149013043527744,free,0,fixed_k2_h1,2,1,0,0.011763113571745101,0.06963625071420143,0.1787177173751338,0.9816262707472116,1
90,0.4546299165351401,0.37268894326094293,0.6398259428218392,0.566304044740046,0.78,0.72,0.2080173381452999,0.2679260638182615,0.0,0.0034848675160289444,free,0,fixed_k2_h1,2,1,0,0.052771781618734775,-0.10322527970170844,0.3363023187659294,0.9816262707472116,1
